0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
7.54	7.54	0	0
16.3	16.3	0	0
20.7	20.7	0.0263	0
15	11.8	0.101	0
0.228	-10.8	0.218	0
-19.9	-40	0.37	0
-42.1	-68.6	0.551	0
-63.1	-89.7	0.756	0
-79.2	-97.7	0.976	0
-85.9	-97.6	1.21	0
-85.7	-97	1.44	0
-85.2	-95.4	1.67	0
-83.8	-92.5	1.9	0
-81.2	-88.4	2.1	0
-77.5	-83.8	2.29	0
-73.4	-79.2	2.44	0
-69.2	-73.2	2.57	0
-63.8	-66	2.69	0
-57.3	-58.5	2.78	0
-50.6	-50.9	2.85	0
-43.7	-43.2	2.9	0
-36.8	-35.6	2.93	0
-30	-28.1	2.94	0
-23.2	-20.8	2.94	0
-16.6	-13.7	2.94	0
-10.3	-7.05	2.94	0
-4.27	-0.948	2.94	0
1.22	4.13	2.94	0
5.79	6.81	2.94	0
8.2	5.91	2.94	0
6.92	4.13	2.94	0
4.1	2.22	2.94	0
1.28	0.669	2.94	0
0	0	2.94	0
0	0	2.94	0
0	0	2.94	0
0	0	2.94	0
0	0	2.94	0
0	0	2.94	0
0	0	2.94	0
