0	0	0
0	0	0
0	0	0
11.4	11.4	0
20.7	20.7	0
15	11.8	0
0.228	-10.8	0
-19.9	-40	0
-42.1	-68.6	0
-63.1	-89.7	0
-79.2	-97.7	0
-85.9	-97.6	0
-85.8	-97.2	0.0263
-85.4	-96.6	0.101
-84.8	-95.6	0.218
-83.9	-94.1	0.37
-82.7	-92.3	0.551
-81	-89.9	0.756
-78.8	-87	0.976
-76.2	-83.4	1.21
-73	-79.2	1.44
-69.2	-71.8	1.67
-62.5	-59.8	1.9
-51.8	-45.5	2.1
-38.9	-30.8	2.29
-25.7	-17.9	2.44
-14	-8.67	2.57
-5.73	-2.95	2.69
-0.581	1.15	2.78
3.11	3.9	2.85
5.59	5.58	2.9
7.09	6.44	2.93
7.87	6.76	2.94
8.16	6.81	2.94
8.2	5.91	2.94
6.92	4.13	2.94
4.1	2.22	2.94
1.28	0.669	2.94
0	0	2.94
0	0	2.94
0	0	2.94
