0	0	0	0
-0.00827	-0.0226	-0.00386	0
-0.0662	-0.18	-0.015	0
-0.223	-0.609	-0.0327	0
-0.53	-1.44	-0.0564	0
-1.03	-2.82	-0.0853	0
-1.79	-4.87	-0.119	0
-3.21	-7.89	-0.156	0
-5.56	-11.9	-0.197	0
-8.67	-16.8	-0.24	0
-12.4	-22.2	-0.284	0
-16.4	-27.9	-0.331	0
-20.8	-33.9	-0.377	0
-25.1	-39.7	-0.423	0
-29.3	-45.3	-0.469	0
-33.2	-50.4	-0.513	0
-36.6	-54.8	-0.555	0
-39.4	-58.2	-0.593	0
-41.7	-61	-0.629	0
-44.1	-63.6	-0.66	0
-46.4	-66	-0.686	0
-48.6	-68.2	-0.709	0
-50.8	-70.3	-0.73	0
-52.8	-72.1	-0.751	0
-54.7	-73.8	-0.771	0
-56.5	-75.2	-0.79	0
-58.1	-76.5	-0.808	0
-59.5	-77.6	-0.825	0
-60.7	-78.4	-0.84	0
-61.7	-79.1	-0.855	0
-62.4	-79.6	-0.868	0.363
-62.9	-79.9	-0.88	1.46
-63	-80	-0.891	3.28
-63	-80	-0.901	5.76
-63	-80	-0.91	8.78
-63	-80	-0.917	12.2
-63	-80	-0.923	15.9
-63	-80	-0.928	19.8
-63	-80	-0.931	23.8
-63	-80	-0.933	27.8
-63	-80	-0.934	31.7
-63	-80	-0.934	35.5
-63	-80	-0.934	39.3
-63	-80	-0.934	43.1
-63	-80	-0.934	46.9
-63	-80	-0.934	50.9
-63	-80	-0.934	54.9
-63	-80	-0.934	59
-63	-80	-0.934	63.1
-63	-80	-0.934	67.2
-63	-80	-0.934	71.4
-63	-80	-0.934	75.5
-63	-80	-0.934	79.6
-63	-80	-0.934	83.7
-63	-80	-0.934	87.7
-63	-80	-0.934	91.7
-63	-80	-0.934	95.5
-63	-80	-0.934	99.3
-63	-80	-0.934	103
-63	-80	-0.934	107
-63	-80	-0.934	110
-63	-80	-0.934	113
-63	-80	-0.934	116
-63	-80	-0.934	119
-63	-80	-0.934	122
-63	-80	-0.934	124
-63	-80	-0.934	127
-63	-80	-0.934	129
-63	-80	-0.934	130
-63	-80	-0.934	132
-63	-80	-0.934	133
-63	-80	-0.934	135
-63	-80	-0.934	136
-63	-80	-0.934	138
-63	-80	-0.934	139
-63	-80	-0.934	140
-63	-80	-0.934	141
-63	-80	-0.934	143
-63	-80	-0.934	144
-63	-80	-0.934	145
-63	-80	-0.934	146
-63	-80	-0.934	147
-63	-80	-0.934	147
-63	-80	-0.934	148
-63	-80	-0.934	149
-63	-80	-0.934	150
-63	-80	-0.934	151
-63	-80	-0.934	151
-63	-80	-0.934	152
-63	-80	-0.934	152
-63	-80	-0.934	153
-63	-80	-0.934	153
-63	-80	-0.934	154
-63	-80	-0.934	154
-63	-80	-0.934	155
-63	-80	-0.934	155
-63	-80	-0.934	156
-63	-80	-0.934	156
-63	-80	-0.934	156
-63	-80	-0.934	156
-63	-80	-0.934	157
-63	-80	-0.934	157
-63	-80	-0.934	157
-63	-80	-0.934	157
-63	-80	-0.934	157
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
-63	-80	-0.934	158
